"name","symbol","price","market cap"
"doc.com Token","MTC","0.013988","9676048"
"AMO Coin","AMO","0.001076","9653644"
"Propy","PRO","0.204421","9653478"
"DeepBrain Chain","DBC","0.003008","9624807"
"Kcash","KCASH","0.021603"," 9624141"
"DMarket","DMT","0.188066","9616953"
"Zipper","ZIP","0.000592","9596393"
"THEKEY","TKY","0.001867","9446294"
"SmartMesh","SMT","0.007018","9407639"
"Peercoin","PPC","0.363625","9257777"
"Spectrecoin","XSPEC","0.411358","9233120"
"All Sports","SOC","0.006101","9150059"
"YOYOW","YOYOW","0.030488","9146338"
"Internet Node...","INT","0.032304","9141749"
"STPT","STPT","0.068866","9127161"
"Electra","ECA","0.000318","9076578"
"Steem Dollars","SBD","1.0","9047242"
"ETHLend","LEND","0.007893","8906376"
"SingularDTV","SNGLS","0.014749","8849680"
"Content Value...","CVNT","0.019978","8838673"
"VIBE","VIBE","0.033883","8814247"
"OriginTrail","TRAC","0.030796","8790024"
"Lympo","LYM","0.010573","8740429"
"Dropil","DROP","0.000377","8558230"
"AirSwap","AST","0.056929","8539356"
"Ubiq","UBQ","0.199159","8485978"
"ParkinGo","GOT","0.62957","8485067"
"Blue Whale EX...","BWX","0.13917","8426359"
"LockTrip","LOC","0.560792","8385047"
"AppCoins","APPC","0.083677","8372263"
"Stakenet","XSN","0.097893"," 8350957"
"Substratum","SUB","0.021792","8346625"
"Viberate","VIB","0.044058","8328041"
"Aeron","ARN","0.425558","8311149"
"Agrello","DLT","0.096654","8310205"
"SwftCoin","SWFTC","0.00228","8297879"
"Numeraire","NMR","6.13","8276010"
"Own","CHX","0.103395","8210841"
"Counterparty","XCP","3.14","8210575"
"Selfkey","KEY","0.00286","8202895"
"QLC Chain","QLC","0.033902","8136502"
"BLOCKv","VEE","0.003055","8132650"
"PCHAIN","PI","0.016389","8102711"
"Swarm","SWM","0.0947","8089784"
"Emercoin","EMC","0.182209","8035763"
"CPChain","CPC","0.021296","8023560"
"BOLT","BOLT","0.014739","8016372"
"POA Network","POA","0.032597","7889322"
"Monetha","MTH","0.023047","7871398"
"Hydro","HYDRO","0.001755","7861344"
"Game.com","GTC","0.010299","7841757"
"Refereum","RFR","0.00206","7822802"
"XYO","XYO","0.000942","7812002"
"Adshares","ADS","0.225698","7807913"
"BitNewChain","BTN","0.043188","7760942"
"Content Neutr...","CNN","0.000198","7733386"
"Sentinel Prot...","UPP","0.025437","7732668"
"NativeCoin","N8V","0.363061","7698497"
"LBRY Credits","LBC","0.031058","7694316"
"Vexanium","VEX","0.011999","7654484"
"MediBloc [QRC20]","MED","0.002476","7343823"
"eosDAC","EOSDAC","0.01098","7255261"
"Abyss Token","ABYSS","0.031476","7178000"
"Ultiledger","ULT","0.011426","7129147"
"Pandacoin","PND","0.000219","7128993"
"SONM","SNM","0.01976","7105644"
"CommerceBlock","CBT","0.040825","7094047"
"ATN","ATN","0.084099","7089717"
"Edgeless","EDG","0.060314","7059605"
"NaPoleonX","NPX","0.321522","7033221"
"smARTOFGIVING","AOG","0.120661","7015809"
"VNT Chain","VNT","0.003506","6939656"
"Mercury","MER","0.06877","6877008"
"WePower","WPR","0.011294","6864879"
"Dero","DERO","0.892651","6838474"
"Litecoin Cash","LCC","0.010756","6835738"
"Boolberry","BBR","0.510395","6722683"
"Spendcoin","SPND","0.019073","6715948"
"BlockMason Cr...","BCPT","0.05755","6684889"
"Penta","PNT","0.00032","6677930"
"SafeInsure","SINS","2.22","6665475"
"Constellation","DAG","0.005075","6632511"
"TERA","TERA","0.007788","6578715"
"MobileGo","MGO","0.065639","6563732"
"OTOCASH","OTO","0.306897","6541779"
"BOMB","BOMB","6.78","6507439"
"Smartlands","SLT","1.27","6491069"
"CyberVein","CVT","0.006082","6449026"
"SALT","SALT","0.080187","6437729"
"BitBay","BAY","0.006259","6335467"
"Invictus Hype...","IHF","0.052845","6326820"
"Genaro Network","GNX","0.025214","6291598"
"Esportbits","HLT","0.314681","6275801"
"Loki","LOKI","0.152671","6272337"
"Cryptaur","CPT","0.000795","6244906"
"Gulden","NLG","0.014484","6228059"
"DAOstack","GEN","0.149568","6176436"
"Polybius","PLBT","1.56","6173254"
"Dock","DOCK","0.012847","6161973"
"CoinUs","CNUS","0.018075","6145486"
"Fiii","FIII","0.012723","6137701"
"CanonChain","CZR","0.011278","6110004"
"Global Social...","GSC","0.01129","6091598"
"FirstBlood","1ST","0.071053","6079139"
"Lition","LIT","0.243767","6066881"
"Universa","UTNP","0.003274","6053618"
"Safex Token","SFT","0.005823","6051411"
"Smartshare","SSP","0.001303","6045965"
"Lendingblock","LND","0.007781","6001959"
"Ocean Protocol","OCEAN","0.023205","5980301"
"DADI","DADI","0.079786","5972011"
"Feathercoin","FTC","0.024553","5953711"
"Pillar","PLR","0.022779","5907803"
"Etherparty","FUEL","0.007337","5868748"
"COVA","COVA","0.002604","5857163"
"Jibrel Network","JNT","0.034342","5840836"
"Trade Token X","TIOX","0.067385","5767072"
"Ambrosus","AMB","0.039584","5723527"
"DeepOnion","ONION","0.354411","5712085"
"HTMLCOIN","HTML","0.000108","5708865"
"Eterbase Coin","XBASE","0.008992","5695101"
"Rublix","RBLX","0.27401","5694284"
"Restart Energ...","MWAT","0.012544","5679482"
"WhiteCoin","XWC","0.02265","5666564"
"Primas","PST","0.107201","5648719"
"Primecoin","XPM","0.200622","5644414"
"Sphere","SPHR","0.45073","5627072"
"BridgeCoin","BCO","0.203408","5492016"
"MintCoin","MINT","0.00022","5479149"
"Zeepin","ZPT","0.010908","5454114"
"FansTime","FTI","0.001913","5451497"
"adToken","ADT","0.006847","5436714"
"GameCredits","GAME","0.077511","5413070"
"Zen Protocol","ZP","0.281723","5405566"
"LEOcoin","LEO","0.044638","5401645"
"DEX","DEX","0.028194","5400323"
"Nimiq","NIM","0.001304","5376931"
"HalalChain","HLC","0.013818","5375416"
"MVL","MVL","0.000715","5352579"
"SDChain","SDA","0.003563","5343891"
"Travala.com","AVA","0.135859","5341081"
"Mobius","MOBI","0.010362","5337236"
"Bottos","BTO","0.009695","5293558"
"Shift","SHIFT","0.397738","5267293"
"Pascal Coin","PASC","0.194436","5242541"
"Artfinity","AT","0.063913","5230324"
"Connect Coin","XCON","0.131421","5125017"
"Callisto Network","CLO","0.002851","5081465"
"Zebi","ZCO","0.00808","5050291"
"Airbloc","ABL","0.019965","5038794"
"MassGrid","MGD","0.068419","5038437"
"ZelCash","ZEL","0.073617","5019163"
"Measurable Da...","MDT","0.009534","4999652"
"STACS","STACS","0.009843","4998918"
"Skrumble Network","SKM","0.004891","4966995"
"ColossusXT","COLX","0.000439","4966659"
"Morpheus.Network","MRPH","0.154673","4919990"
"LinkEye","LET","0.008109","4865470"
"Hydro Protocol","HOT","0.006916","4855115"
"Loopring [NEO]","LRN","0.042556","4834536"
"Neumark","NEU","0.13766","4827893"
"TurtleCoin","TRTL","0.000102","4820274"
"Raven Protocol","RAVEN","0.002767","4783378"
"Lunyr","LUN","2.08","4781147"
"Origo","OGO","0.029966","4771761"
"Merculet","MVP","0.001891","4753982"
"CloakCoin","CLOAK","0.888868","4716790"
"Remme","REM","0.007137","4705617"
"Fortuna","FOTA","0.009799","4703693"
"Digix Gold Token","DGX","45.34","4685532"
"StableUSD","USDS","0.992047","4620656"
"Caspian","CSP","0.010591","4598710"
"BaaSid","BAAS","0.001099","4597882"
"Global Crypto...","GCC","0.003624","4566708"
"Change","CAG","0.14305","4530923"
"SunContract","SNC","0.036427","4469885"
"Insureum","ISR","0.021281","4469863"
"Coinsuper Eco...","CEN","0.010293","4447635"
"Omnitude","ECOM","0.068024","4408866"
"SPINDLE","SPD","0.001383","4398407"
"LoyalCoin","LYL","0.000817","4373851"
"PTON","PTON","0.000541","4373543"
"Melon","MLN","3.62","4292739"
"Hi Mutual Soc...","HMC","0.010615","4289371"
"MultiVAC","MTV","0.005427","4287629"
"Machine Xchan...","MXC","0.005339","4268485"
"Hxro","HXRO","0.058925","4223473"
"SwissBorg","CHSB","0.007329","4220309"
"BitMart Token","BMX","0.03072","4212525"
"FREE Coin","FREE","4.8e-07","4179947"
"Maecenas","ART","0.0848","4099845"
"Bean Cash","BITB","0.001311","4097376"
"Flowchain","FLC","5.93","4090243"
"Diamond Platf...","DPT","11.28","4086048"
"Ink","INK","0.008732","4050942"
"PIBBLE","PIB","0.000648","4050453"
"Grid+","GRID","0.102876","4036499"
"Phore","PHR","0.22501","4007841"
"bitUSD","BITUSD","1.03","3998570"
"BitTube","TUBE","0.027292","3995415"
"GoldCoin","GLC","0.095638","3984498"
"INMAX","INX","1.16","3963786"
"BlackCoin","BLK","0.062493","3928011"
"Opacity","OPQ","0.031867","3893382"
"Wowbit","WWB","0.013953","3875924"
"Bezop","BEZ","0.069325","3860264"
"Delphy","DPY","0.065299","3859176"
"Footballcoin","XFC","0.010282","3852179"
"PACcoin","$PAC","0.000528","3843008"
"Stealth","XST","0.117721","3821155"
"Krios","KRI","0.033546","3772424"
"Kambria","KAT","0.003053","3756892"
"ZClassic","ZCL","0.538083","3727381"
"EveryCoin ","EVY","0.000394","3695000"
"Morpheus Labs","MITX","0.017942","3688416"
"NuShares","NSR","0.001327","3685417"
"GET Protocol","GET","0.320693","3652131"
"SpankChain","SPANK","0.012106","3632177"
"Wings","WINGS","0.037635","3627299"
"SINOVATE","SIN","0.005621","3614440"
"BitGreen","BITG","0.392121","3613558"
"Apex","CPX","0.007715","3593625"
"ChatCoin","CHAT","0.005159","3559463"
"Dignity","DIG","0.006798","3555639"
"Safe Haven","SHA","0.001168","3509470"
"DAO.Casino","BET","0.020688","3460574"
"SIX","SIX","0.012637","3459650"
"Hashgard","GARD","6.9e-05","3454645"
"Vanta Network","VNT","0.001227","3452098"
"Phantasma","SOUL","0.057625","3361451"
"DecentBet","DBET","0.017798","3357366"
"Presearch","PRE","0.021614","3350244"
"UNIVERSAL CASH","UCASH","0.000318","3296815"
"ProChain","PRA","0.065576","3250144"
"Divi","DIVI","0.002914","3234068"
"Crown","CRW","0.14336","3227564"
"Observer","OBSR","0.00239","3200555"
"ICE ROCK MINING","ROCK2","0.201946","3175460"
"Ulord","UT","0.032309","3161539"
"Radium","RADS","0.839382","3154528"
"OKCash","OK","0.042108","3142403"
"PlayCoin [ERC20]","PLY","0.01731","3127700"
"YEE","YEE","0.002274","3104484"
"Polis","POLIS","0.48704","3100358"
"VINchain","VIN","0.006399","3072099"
"Chronobank","TIME","4.29"," 3049842"
"NAGA","NGC","0.042626","3045984"
"Eligma Token","ELI","0.021611","3042923"
"sUSD","SUSD","0.89934","3019692"
"SpaceChain","SPC","0.005832","3008634"
"CrypticCoin","CRYP","0.001175","2994993"
"carVertical","CV","0.000388","2987287"
"QChi","QCH","0.092599","2986771"
"KickCoin","KICK","0.001981","2977176"
"Cloudbric","CLB","0.007077","2963197"
"VeriCoin","VRC","0.092175","2935521"
"NANJCOIN","NANJ","0.00015","2902447"
"PolySwarm","NCT","0.001873","2896224"
"Naka Bodhi Token","NBOT","0.047982","2878939"
"Tolar","TOL","0.011723","2875016"
"Bloom","BLT","0.053498","2869800"
"NeoWorld Cash","NASH","0.000204","2856695"
"ZPER","ZPR","0.002239","2853584"
"nOS","NOS","0.027481","2816797"
"Eden","EDN","0.004689","2813449"
"FintruX Network","FTX","0.02954","2806315"
"ugChain","UGC","0.004909","2792206"
"Myriad","XMY","0.001648","2768893"
"Brickblock","BBK","0.036569","2747484"
"Sentinel","SENT","0.001364","2727794"
"Lamden","TAU","0.019153","2723803"
"Verasity","VRA","0.000648","2699402"
"0Chain","ZCN","0.066999","2687743"
"Bitcoin Private","BTCP","0.569771","2682892"
"ZMINE","ZMN","0.015861","2677839"
"Noku","NOKU","0.11052","2627834"
"Nexty","NTY","1.7e-05","2608295"
"AIDUS TOKEN","AID","0.01303","2606062"
"Haven Protocol","XHV","0.330658","2595372"
"GridCoin","GRC","0.006179","2595003"
"Optimal Shelf...","OSA","0.001862","2587478"
"CoinPoker","CHP","0.007964","2567562"
"MIR COIN","MIR","0.00414","2567189"
"Hiveterminal ...","HVN","0.006245","2562439"
"DECENT","DCT","0.049942","2562348"
"Xaurum","XAUR","0.029408","2547988"
"YGGDRASH","YEED","0.000467","2544170"
"DAEX","DAX","0.007155","2537728"
"LUXCoin","LUX","0.430758","2531546"
"Nasdacoin","NSD","0.12551","2528012"
"XEL","XEL","0.027562","2526748"
"Unibright","UBT","0.017759","2503682"
"Rapids","RPD","0.000394","2502648"
"Gene Source C...","GENE","0.006692","2496464"
"MonetaryUnit","MUE","0.015344","2495194"
"Kleros","PNK","0.010992","2477164"
"Olive","OLE","0.008878","2459273"
"AI Doctor","AIDOC","0.00553","2451640"
"FuzeX","FXT","0.002958","2438927"
"Ubex","UBEX","0.000784","2431192"
"Peculium","PCL","0.001188","2420215"
"VouchForMe","IPL","0.010521","2407389"
"Veil","VEIL","0.115092","2391654"
"ERC20","ERC20","0.047506","2375305"
"Switcheo","SWTH","0.004521","2363269"
"aXpire","AXPR","0.008276","2349522"
"CVCoin","CVN","0.18649","2308910"
